,true,pred
0,0.00377,0.0047614556
1,0.003718,0.0052871043
2,0.003617,0.0056432476
3,0.00325,0.0055661164
4,0.003431,0.0053436738
5,0.003426,0.005188847
6,0.003278,0.0053094616
7,0.003454,0.005245369
8,0.00299,0.005217542
9,0.003187,0.005142916
10,0.002824,0.004910415
11,0.002936,0.0049242126
12,0.003058,0.0047048377
13,0.003246,0.0048292754
14,0.002994,0.004982602
15,0.003168,0.005023425
16,0.003104,0.0049082483
17,0.002963,0.0050126174
18,0.002987,0.004919909
19,0.003074,0.004828577
20,0.0029,0.0048728324
21,0.002573,0.004878345
22,0.002516,0.004658216
23,0.002534,0.0043994877
24,0.0028,0.004354056
25,0.002534,0.00441866
26,0.002555,0.0045792395
27,0.002239,0.0043749167
28,0.00246,0.0043331524
29,0.002502,0.0040762937
30,0.002525,0.0042997813
31,0.00265,0.0043420065
32,0.002688,0.0043844273
33,0.002382,0.004501897
34,0.002351,0.0044610733
35,0.002284,0.004206797
36,0.00218,0.004170823
37,0.00218,0.0040988475
38,0.001848,0.0039978856
39,0.001783,0.0039855046
40,0.001661,0.0036606053
41,0.001466,0.0036063092
42,0.001305,0.0035085734
43,0.001563,0.0033246092
44,0.001802,0.0029174862
45,0.001637,0.0032658884
46,0.001872,0.0036299778
47,0.001949,0.00335998
48,0.002093,0.0036654696
49,0.002007,0.0037444122
50,0.002025,0.003907074
51,0.001759,0.0038159909
52,0.001783,0.0038459757
53,0.001842,0.003551756
54,0.001767,0.0035717702
55,0.001744,0.0036552027
56,0.001686,0.003569997
57,0.001674,0.0035535814
58,0.001781,0.0034837173
59,0.001846,0.00344011
60,0.001763,0.0035686297
61,0.001819,0.0036603091
62,0.002068,0.0035503292
63,0.001936,0.0035807798
64,0.001948,0.003882845
65,0.001965,0.003742247
66,0.001915,0.003754667
67,0.001935,0.003776771
68,0.001871,0.0037192581
69,0.001854,0.003747738
70,0.001779,0.0036771158
71,0.001754,0.0036676321
72,0.001699,0.0035840226
73,0.001766,0.0035636043
74,0.001696,0.003478312
75,0.001653,0.003578524
76,0.001661,0.0035024257
77,0.001682,0.0034439312
78,0.001687,0.003448776
79,0.001699,0.0034752963
80,0.001702,0.0034789527
81,0.001805,0.003493582
82,0.001724,0.003472561
83,0.001752,0.0036195433
84,0.001755,0.0035143662
85,0.001794,0.0035495358
86,0.001891,0.0035730219
87,0.002119,0.0038416144
88,0.0021,0.004428858
89,0.002492,0.004592007
90,0.002178,0.0043579955
91,0.00216,0.004419389
92,0.001879,0.0042547053
93,0.002049,0.004143215
94,0.002031,0.003721024
95,0.002,0.0039782794
96,0.0018,0.0040797954
97,0.001728,0.0040632263
98,0.001544,0.0038860077
99,0.001522,0.003875169
100,0.001493,0.0036376417
101,0.001404,0.0036570085
102,0.000953,0.003703989
103,0.000965,0.00372048
104,0.000914,0.0028867805
105,0.000865,0.0029248418
106,0.00094,0.0030140933
107,0.000876,0.0025652498
108,0.000838,0.002812718
109,0.000776,0.0028530592
110,0.000774,0.003021242
111,0.000944,0.0028126352
112,0.00089,0.00251979
113,0.001146,0.0030498533
114,0.00115,0.0023467625
115,0.001159,0.00291844
116,0.001109,0.0029306924
117,0.001089,0.0031219851
118,0.001168,0.003264795
119,0.001076,0.003012008
120,0.001051,0.003347884
121,0.001023,0.0030828146
122,0.001014,0.003151589
123,0.001007,0.0030521099
124,0.001024,0.0029630633
125,0.001042,0.002963473
126,0.00106,0.0028546015
127,0.000976,0.0027960679
128,0.000999,0.0030262275
129,0.001036,0.0028660046
130,0.001051,0.0029148143
131,0.00102,0.0029918281
132,0.001067,0.0031001354
133,0.00108,0.0029343553
134,0.001151,0.0030255457
135,0.001066,0.0037777936
136,0.001052,0.005342059
137,0.001069,0.003392253
138,0.00104,0.003240223
139,0.00098,0.0035178065
140,0.001013,0.00340823
141,0.00101,0.0032402622
142,0.00106,0.0031426
143,0.001079,0.0028827218
144,0.00106,0.0028671296
145,0.001042,0.0029488923
146,0.001014,0.0030163461
147,0.001181,0.0028860113
148,0.00116,0.002659442
149,0.001147,0.0030612638
150,0.001125,0.0031727608
151,0.00112,0.0031378893
152,0.001133,0.0031622304
153,0.001179,0.003120347
154,0.001169,0.0030983984
155,0.001143,0.0031813364
156,0.001169,0.003199446
157,0.001191,0.0031045694
158,0.001392,0.0033541294
159,0.001158,0.003235845
160,0.001172,0.003425111
161,0.00106,0.0031136004
162,0.001162,0.0033287257
163,0.001171,0.003062305
164,0.001295,0.003402396
165,0.001353,0.003196055
166,0.001298,0.0033796495
167,0.00132,0.003516403
168,0.001362,0.0032945788
169,0.001373,0.003072557
170,0.001376,0.0033624638
171,0.001837,0.0035656812
172,0.001905,0.0033310913
173,0.001903,0.003893585
174,0.002074,0.003979466
175,0.001957,0.003946906
176,0.001965,0.004122599
177,0.00236,0.004174293
178,0.002043,0.0041389987
179,0.002053,0.0045528207
180,0.002127,0.0041666823
181,0.002073,0.0042090053
182,0.002186,0.0042160926
183,0.002439,0.004279877
184,0.002467,0.004321891
185,0.002586,0.004557658
186,0.002666,0.0046334127
187,0.002692,0.0047515905
188,0.002564,0.0048230793
189,0.002519,0.004789576
190,0.002646,0.004685805
191,0.003126,0.0046315677
192,0.003382,0.004867049
193,0.003591,0.005345808
194,0.003659,0.005550318
195,0.005634,0.005729099
196,0.005841,0.0066688783
197,0.00627,0.007921426
198,0.005409,0.008273946
199,0.006392,0.0078465305
200,0.007497,0.008205765
201,0.006071,0.009350205
202,0.006949,0.008664695
203,0.008356,0.008823356
204,0.008648,0.010195082
205,0.009332,0.010843467
206,0.008861,0.011448747
207,0.008244,0.011217111
208,0.009228,0.010616171
209,0.007672,0.011256576
210,0.008927,0.010232773
211,0.008678,0.0108362455
212,0.009,0.010987543
213,0.009205,0.011210373
214,0.009613,0.0114578055
215,0.01255,0.011824813
216,0.01463,0.014357739
217,0.017,0.016845196
218,0.01542,0.01935538
219,0.0131,0.018162861
220,0.012839,0.015898058
221,0.011189,0.015323486
222,0.012566,0.013839971
223,0.012259,0.014724052
224,0.011232,0.014722936
225,0.009721,0.013773082
226,0.006564,0.012288763
227,0.00762,0.009428899
228,0.00753,0.009470904
229,0.007787,0.0097510675
230,0.008359,0.009903224
231,0.006975,0.010416029
232,0.00665,0.009489763
233,0.006605,0.008899571
234,0.00706,0.008765765
235,0.00749,0.009071527
236,0.007169,0.009540161
237,0.007383,0.009417752
238,0.00761,0.009474492
239,0.006942,0.009700597
240,0.006136,0.009261107
241,0.006006,0.008467861
242,0.005126,0.008127636
243,0.004566,0.0074985
244,0.00515,0.006860931
245,0.00441,0.006929485
246,0.003547,0.0067397757
247,0.00442,0.005970888
248,0.004222,0.00597121
249,0.00458,0.0063489843
250,0.005028,0.006402662
251,0.005018,0.006853567
252,0.004942,0.0070911637
253,0.005548,0.007006501
254,0.005694,0.007333773
255,0.006785,0.007693237
256,0.007303,0.008635932
257,0.006952,0.009484855
258,0.007035,0.009270172
259,0.006463,0.009176254
260,0.006712,0.008777864
261,0.007152,0.008740079
262,0.006648,0.009361938
263,0.006233,0.009012999
264,0.006675,0.008522347
265,0.006272,0.008660765
266,0.006083,0.008501275
267,0.006294,0.008228688
268,0.00633,0.008296739
269,0.00607,0.008395787
270,0.006193,0.008218929
271,0.005549,0.008206418
272,0.005262,0.007829942
273,0.005466,0.0074131913
274,0.005261,0.0074161673
275,0.004606,0.0073514865
276,0.00406,0.0068954723
277,0.003995,0.0063198265
278,0.004151,0.006036087
279,0.003989,0.0060547898
280,0.004159,0.006037359
281,0.00404,0.0060620992
282,0.003971,0.0060641384
283,0.003599,0.0059549715
284,0.003541,0.005751526
285,0.003523,0.0055564307
286,0.003334,0.005478029
287,0.003124,0.0053801825
288,0.003486,0.0052095233
289,0.003657,0.0051985104
290,0.003641,0.0055048605
291,0.003597,0.0056012236
292,0.003566,0.005566189
293,0.003517,0.00551862
294,0.00347,0.0054795975
295,0.003283,0.0054222015
296,0.003154,0.0053182477
297,0.003162,0.005151244
298,0.002872,0.0050647976
299,0.002765,0.0049837
300,0.0028,0.004759143
301,0.002707,0.004662224
302,0.002801,0.0046568858
303,0.003011,0.004608493
304,0.002769,0.0047537787
305,0.002803,0.004838852
306,0.002718,0.0046650767
307,0.002817,0.0046709813
308,0.002859,0.0046248473
309,0.002796,0.004713122
310,0.003086,0.0047388673
311,0.003398,0.004814901
312,0.00388,0.0051952996
313,0.003962,0.0056068767
314,0.004153,0.005936252
315,0.004634,0.006054757
316,0.004561,0.0064089047
317,0.004705,0.006672667
318,0.005442,0.0066517517
319,0.005969,0.0071614375
320,0.005906,0.00786796
321,0.005381,0.008048886
322,0.005524,0.007694357
323,0.005604,0.00756225
324,0.005767,0.007623333
325,0.00507,0.007782948
326,0.005524,0.007396656
327,0.005379,0.0074013183
328,0.005507,0.0074931043
329,0.005451,0.0075066844
330,0.005232,0.007541499
331,0.005116,0.0073505696
332,0.005331,0.007176704
333,0.005489,0.0072707892
334,0.005248,0.0074703144
335,0.005232,0.007363042
336,0.004939,0.00725835
337,0.004974,0.007068254
338,0.005255,0.006964363
339,0.005023,0.00715408
340,0.004791,0.0071155746
341,0.004247,0.0068686036
342,0.004274,0.006458493
343,0.004472,0.006219793
344,0.004448,0.0063309716
345,0.004532,0.0064178435
346,0.004378,0.0064616716
347,0.004189,0.006407405
348,0.004242,0.0062300554
349,0.004233,0.0061619915
350,0.004359,0.006183058
351,0.004217,0.0062532895
352,0.003874,0.006239713
353,0.003437,0.0059885997
354,0.003568,0.0056090546
355,0.0035,0.005415009
356,0.00347,0.005461366
357,0.00341,0.0054018013
358,0.003219,0.005357043
359,0.003461,0.00524716
360,0.003396,0.0052194074
361,0.003432,0.0053368844
362,0.003441,0.005317061
363,0.003583,0.0053506913
364,0.003689,0.005416316
365,0.003542,0.005569189
366,0.003628,0.0055542067
367,0.003727,0.005493115
368,0.003714,0.005598206
369,0.003664,0.0056430534
370,0.003572,0.0056099864
371,0.003136,0.005537275
372,0.003235,0.0053097606
373,0.003091,0.0050654938
374,0.002792,0.005077135
375,0.002968,0.0048814355
376,0.00287,0.0047193356
377,0.002907,0.004821799
378,0.002887,0.0047633266
379,0.002993,0.004781955
380,0.003017,0.0047993725
381,0.002993,0.0048864055
382,0.002982,0.0048896456
383,0.002606,0.004878274
384,0.002654,0.004763799
385,0.002508,0.0044849226
386,0.002539,0.004500692
387,0.00245,0.004383159
388,0.002468,0.0043939305
389,0.002321,0.004313764
390,0.002414,0.0043121595
391,0.002543,0.004182293
392,0.002536,0.004296354
393,0.002735,0.004396624
394,0.002655,0.0044326996
395,0.002688,0.0045910943
396,0.002614,0.004525889
397,0.002636,0.0045321286
398,0.002655,0.004482813
399,0.002649,0.004505694
400,0.002635,0.004518114
401,0.002458,0.0045180074
402,0.002462,0.0044700773
403,0.002286,0.0043232786
404,0.002328,0.004293127
405,0.002344,0.004137622
406,0.002423,0.0041821627
407,0.002904,0.0042147664
408,0.003254,0.004398699
409,0.003694,0.0049422504
410,0.003833,0.0054721143
411,0.003409,0.005748054
412,0.003555,0.005593368
413,0.003487,0.0053882515
414,0.003416,0.005457827
415,0.003626,0.005386358
416,0.003564,0.00543755
